  10.5.197.0/24           77.108.107.118
  10.5.198.0/24           77.108.107.119
  10.5.199.0/24           77.108.107.120
  10.5.200.0/24           77.108.107.121
  10.5.201.0/24           77.108.107.122
  10.5.202.0/24           77.108.107.123
  10.5.203.0/24           77.108.107.124
  10.5.204.0/24           77.108.107.125
  10.5.205.0/24           77.108.107.126
  10.5.206.0/24           77.108.107.127
  10.5.207.0/24           77.108.107.128
  10.5.208.0/24           77.108.107.129
  10.5.209.0/24           77.108.107.130
  10.5.210.0/24           77.108.107.131
  10.5.211.0/24           77.108.107.132
  10.5.212.0/24           77.108.107.133
  10.5.214.0/24           77.108.107.135
  10.5.215.0/24           77.108.107.136
  10.5.216.0/24           77.108.107.137
  10.5.217.0/24           77.108.107.138
  10.5.218.0/24           77.108.107.139
  10.5.219.0/24           77.108.107.140
  10.5.220.0/24           77.108.107.141
  10.5.120.0/22           77.108.107.53
  10.5.124.0/22           77.108.107.54
  10.5.128.0/22           77.108.107.55
  10.5.132.0/22           77.108.107.56
  10.5.221.0/24           77.108.107.142
  10.5.222.0/24           77.108.107.143
  10.5.223.0/24           77.108.107.144
  10.5.228.0/24           77.108.107.146
  10.5.229.0/24           77.108.107.147
  10.5.230.0/24           77.108.107.148
  10.5.231.0/24           77.108.107.149
  10.5.232.0/24           77.108.107.150
  10.5.233.0/24           77.108.107.151
  10.5.234.0/24           77.108.107.152
  10.5.235.0/24           77.108.107.153
  10.2.173.0/24           31.13.61.147
  10.3.0.0/24             31.13.61.196
  10.3.8.0/24             31.13.61.204
  10.3.25.0/24            31.13.61.221
  10.3.37.0/24            31.13.61.233
  10.3.122.0/24           213.171.34.64
  10.3.155.0/24           213.171.34.97
  10.3.176.0/24           213.171.34.118
  10.3.196.0/24           213.171.34.138
  10.3.197.0/24           213.171.34.139
  10.3.213.0/24           213.171.34.155
  10.3.217.0/24           213.171.34.159
  10.3.219.0/24           213.171.34.161
  10.3.230.0/24           213.171.34.172
  10.3.235.0/24           213.171.34.177
  10.4.36.0/24            213.171.34.231
  10.4.66.0/24            77.108.106.7
  10.4.96.0/24            77.108.106.35
  10.4.110.0/24           77.108.106.51
  10.4.112.0/24           77.108.106.53
  10.4.140.0/24           77.108.106.81
  10.4.150.0/24           77.108.106.91
  10.4.153.0/24           77.108.106.94
  10.4.168.0/24           77.108.106.109
  10.4.173.0/24           77.108.106.114
  10.4.183.0/24           77.108.106.124
  10.4.201.0/24           77.108.106.142
  10.4.208.0/24           77.108.106.149
  10.4.209.0/24           77.108.106.150
  10.4.217.0/24           77.108.106.158
  10.4.230.0/24           77.108.106.171
  10.4.241.0/24           77.108.106.182
  10.4.245.0/24           77.108.106.186
  10.4.248.0/24           77.108.106.189
  10.5.4.0/24             77.108.106.201
  10.5.6.0/24             77.108.106.203
  10.5.7.0/24             77.108.106.204
  10.2.86.0/24            31.13.61.109
  10.3.209.0/24           213.171.34.151
  10.2.232.0/22           31.13.61.179
  10.5.236.0/24           77.108.107.154
  10.5.237.0/24           77.108.107.155
  10.5.238.0/24           77.108.107.156
  10.5.239.0/24           77.108.107.157
  10.5.240.0/24           77.108.107.158
  10.5.241.0/24           77.108.107.159
  10.5.242.0/24           77.108.107.160
  10.5.243.0/24           77.108.107.161
  10.5.244.0/24           77.108.107.162
  10.5.245.0/24           77.108.107.163
  10.5.246.0/24           77.108.107.164
  10.5.247.0/24           77.108.107.165
  10.5.248.0/24           77.108.107.166
  10.5.249.0/24           77.108.107.167
  10.5.250.0/24           77.108.107.168
  10.5.251.0/24           77.108.107.169
  10.5.252.0/24           77.108.107.170
  10.5.253.0/24           77.108.107.171
  10.5.254.0/24           77.108.107.172
  10.6.0.0/24             77.108.107.173
  10.6.1.0/24             77.108.107.174
  10.6.2.0/24             77.108.107.175
  10.6.3.0/24             77.108.107.176
  10.6.4.0/24             77.108.107.177
  10.6.5.0/24             77.108.107.178
  10.6.6.0/24             77.108.107.179
  10.6.7.0/24             77.108.107.180
  10.6.8.0/24             77.108.107.181
